C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_03_666.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_03_666.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_03_666.jpg,0,0,0,4.640797
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_03_737.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_03_737.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_03_737.jpg,0,0,0,4.605744
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_03_806.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_03_806.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_03_806.jpg,0,0,0,4.579637
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_03_878.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_03_878.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_03_878.jpg,0,0,0,4.545071
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_03_947.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_03_947.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_03_947.jpg,0,0,0,4.519326
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_04_017.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_04_017.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_04_017.jpg,0,0,0,4.485239
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_04_088.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_04_088.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_04_088.jpg,0,0,0,4.459851
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_04_158.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_04_158.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_04_158.jpg,0,0,0,4.426236
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_04_225.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_04_225.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_04_225.jpg,0,0,0,4.4012
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_04_296.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_04_296.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_04_296.jpg,0,0,0,4.368051
C:\Users\User\Desktop\TrainingData\IMG\center_2020_11_26_10_21_04_363.jpg,C:\Users\User\Desktop\TrainingData\IMG\left_2020_11_26_10_21_04_363.jpg,C:\Users\User\Desktop\TrainingData\IMG\right_2020_11_26_10_21_04_363.jpg,0,0,0,4.343361
